Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
106817,Oras Targu Lapus,MM,0.046,0.048,0.057,0.062,0.084,0.075,0.077,0.081,0.075,0.046,0.059,0.069,0.063,0.055,0.039,0.03,0.021,0.011
106979,Oras Viseu De Sus,MM,0.042,0.056,0.059,0.061,0.079,0.078,0.088,0.083,0.078,0.048,0.062,0.064,0.065,0.047,0.035,0.028,0.016,0.011
107001,Ardusat,MM,0.057,0.069,0.068,0.063,0.082,0.071,0.081,0.08,0.071,0.062,0.048,0.055,0.051,0.048,0.033,0.031,0.019,0.011
107047,Arinis,MM,0.037,0.048,0.058,0.07,0.059,0.052,0.074,0.064,0.089,0.043,0.044,0.062,0.064,0.071,0.058,0.051,0.033,0.022
107083,Asuaju De Sus,MM,0.042,0.06,0.059,0.051,0.062,0.067,0.079,0.068,0.069,0.048,0.038,0.054,0.076,0.075,0.052,0.047,0.029,0.026
107118,Baita De Sub Codru,MM,0.063,0.067,0.068,0.07,0.069,0.061,0.074,0.083,0.072,0.065,0.039,0.047,0.052,0.057,0.046,0.042,0.018,0.009
107154,Baiut,MM,0.03,0.044,0.054,0.057,0.067,0.075,0.089,0.08,0.097,0.04,0.061,0.07,0.059,0.057,0.047,0.041,0.017,0.014
107190,Basesti,MM,0.046,0.068,0.064,0.042,0.053,0.055,0.087,0.089,0.055,0.067,0.038,0.041,0.057,0.068,0.061,0.054,0.037,0.019
107234,Bicaz,MM,0.04,0.065,0.067,0.054,0.064,0.038,0.067,0.092,0.067,0.049,0.048,0.049,0.058,0.076,0.052,0.069,0.025,0.018
107270,Bistra,MM,0.065,0.07,0.064,0.075,0.076,0.076,0.079,0.067,0.061,0.07,0.06,0.053,0.046,0.041,0.031,0.032,0.021,0.011
107314,Barsana,MM,0.047,0.054,0.059,0.059,0.078,0.075,0.078,0.071,0.063,0.051,0.06,0.064,0.055,0.051,0.05,0.036,0.028,0.021
107350,Bocicoiu Mare,MM,0.045,0.061,0.058,0.065,0.072,0.079,0.088,0.082,0.069,0.049,0.056,0.061,0.063,0.05,0.035,0.03,0.022,0.014
107403,Bogdan Voda,MM,0.038,0.046,0.053,0.056,0.071,0.079,0.075,0.073,0.062,0.045,0.05,0.054,0.068,0.067,0.065,0.038,0.035,0.024
107430,Boiu Mare,MM,0.021,0.045,0.065,0.061,0.068,0.062,0.077,0.088,0.075,0.032,0.05,0.06,0.061,0.083,0.061,0.043,0.027,0.02
