Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
155261,Dumbravita,TM,0.07,0.047,0.039,0.04,0.071,0.101,0.123,0.103,0.093,0.066,0.05,0.054,0.049,0.039,0.025,0.016,0.008,0.008
155289,Ghiroda,TM,0.052,0.042,0.043,0.054,0.075,0.082,0.103,0.084,0.086,0.053,0.054,0.06,0.061,0.062,0.032,0.028,0.016,0.012
155314,Giroc,TM,0.075,0.041,0.039,0.047,0.095,0.121,0.115,0.08,0.08,0.062,0.043,0.055,0.05,0.037,0.021,0.018,0.01,0.01
155350,Municipiul Lugoj,TM,0.04,0.042,0.045,0.053,0.079,0.072,0.085,0.081,0.086,0.044,0.058,0.08,0.08,0.057,0.032,0.032,0.02,0.014
155403,Oras Buzias,TM,0.042,0.05,0.055,0.059,0.077,0.074,0.074,0.078,0.086,0.051,0.057,0.07,0.067,0.057,0.038,0.033,0.018,0.016
155458,Oras Deta,TM,0.04,0.053,0.05,0.063,0.087,0.072,0.077,0.084,0.102,0.044,0.063,0.062,0.061,0.045,0.029,0.031,0.02,0.017
155494,Oras Jimbolia,TM,0.04,0.055,0.056,0.061,0.088,0.074,0.088,0.089,0.086,0.056,0.054,0.065,0.063,0.041,0.026,0.028,0.018,0.013
155528,Oras Sannicolau Mare,TM,0.049,0.054,0.052,0.059,0.092,0.076,0.081,0.082,0.086,0.054,0.06,0.066,0.058,0.045,0.029,0.029,0.017,0.011
155546,Balint,TM,0.035,0.059,0.074,0.054,0.071,0.059,0.083,0.069,0.076,0.042,0.057,0.054,0.062,0.052,0.049,0.051,0.03,0.023
155591,Banloc,TM,0.055,0.054,0.064,0.066,0.085,0.069,0.077,0.085,0.076,0.049,0.056,0.057,0.059,0.042,0.033,0.031,0.019,0.022
155662,Bara,TM,0.031,0.059,0.04,0.077,0.065,0.087,0.059,0.08,0.074,0.046,0.056,0.071,0.077,0.046,0.028,0.034,0.05,0.019
155724,Beba Veche,TM,0.043,0.057,0.072,0.074,0.094,0.067,0.082,0.102,0.075,0.051,0.051,0.045,0.043,0.046,0.028,0.031,0.018,0.02
155760,Becicherecu Mic,TM,0.047,0.052,0.063,0.057,0.092,0.082,0.09,0.088,0.075,0.052,0.05,0.062,0.057,0.055,0.025,0.021,0.018,0.014
155797,Belint,TM,0.028,0.047,0.049,0.05,0.072,0.056,0.06,0.072,0.093,0.034,0.062,0.064,0.057,0.07,0.053,0.062,0.045,0.023
155840,Bethausen,TM,0.054,0.065,0.066,0.064,0.07,0.066,0.062,0.078,0.073,0.057,0.048,0.051,0.057,0.055,0.043,0.045,0.031,0.015
155911,Biled,TM,0.042,0.048,0.049,0.07,0.089,0.089,0.079,0.071,0.09,0.053,0.06,0.061,0.061,0.049,0.027,0.028,0.017,0.017
155957,Barna,TM,0.059,0.057,0.069,0.057,0.084,0.082,0.084,0.066,0.073,0.071,0.043,0.057,0.047,0.049,0.027,0.04,0.022,0.01
156035,Bogda,TM,0.052,0.045,0.028,0.056,0.092,0.067,0.071,0.062,0.086,0.052,0.036,0.06,0.067,0.062,0.041,0.039,0.043,0.043
156106,Boldur,TM,0.032,0.042,0.044,0.055,0.06,0.067,0.075,0.084,0.084,0.045,0.055,0.062,0.065,0.075,0.048,0.056,0.029,0.024
156151,Brestovat,TM,0.049,0.039,0.069,0.043,0.079,0.065,0.068,0.075,0.072,0.05,0.06,0.073,0.053,0.055,0.039,0.055,0.039,0.019
156213,Carpinis,TM,0.057,0.06,0.065,0.078,0.09,0.076,0.085,0.082,0.081,0.054,0.052,0.049,0.052,0.039,0.03,0.021,0.015,0.012
156259,Cenad,TM,0.047,0.061,0.062,0.061,0.092,0.076,0.083,0.084,0.086,0.057,0.055,0.064,0.056,0.037,0.023,0.027,0.017,0.013
156277,Cenei,TM,0.042,0.039,0.054,0.052,0.09,0.071,0.08,0.074,0.098,0.042,0.063,0.07,0.059,0.049,0.038,0.035,0.026,0.017
156311,Cheveresu Mare,TM,0.046,0.061,0.064,0.073,0.09,0.065,0.071,0.082,0.077,0.053,0.053,0.049,0.061,0.047,0.028,0.033,0.026,0.021
156357,Oras Ciacova,TM,0.046,0.059,0.058,0.059,0.083,0.07,0.08,0.078,0.081,0.058,0.053,0.06,0.053,0.054,0.029,0.036,0.021,0.021
156437,Comlosu Mare,TM,0.053,0.065,0.072,0.068,0.089,0.069,0.083,0.082,0.084,0.06,0.051,0.053,0.046,0.038,0.032,0.026,0.017,0.012
156473,Costeiu,TM,0.044,0.047,0.048,0.063,0.07,0.06,0.073,0.084,0.086,0.058,0.05,0.067,0.063,0.067,0.04,0.04,0.021,0.02
156534,Criciova,TM,0.042,0.042,0.065,0.063,0.067,0.065,0.073,0.064,0.076,0.047,0.057,0.064,0.076,0.06,0.045,0.037,0.037,0.019
156589,Curtea,TM,0.049,0.073,0.06,0.054,0.072,0.075,0.075,0.064,0.064,0.053,0.037,0.07,0.071,0.063,0.044,0.044,0.024,0.009
156623,Darova,TM,0.049,0.048,0.064,0.079,0.085,0.073,0.066,0.085,0.078,0.047,0.056,0.063,0.056,0.047,0.029,0.035,0.019,0.019
156669,Denta,TM,0.034,0.053,0.054,0.077,0.077,0.07,0.073,0.09,0.091,0.046,0.055,0.06,0.064,0.049,0.037,0.034,0.022,0.015
156712,Dudestii Vechi,TM,0.042,0.049,0.055,0.057,0.08,0.071,0.066,0.075,0.082,0.049,0.055,0.065,0.055,0.053,0.047,0.042,0.035,0.021
156767,Dumbrava,TM,0.044,0.056,0.075,0.062,0.069,0.066,0.08,0.069,0.087,0.052,0.05,0.068,0.063,0.05,0.032,0.035,0.022,0.02
156801,Oras Faget,TM,0.051,0.052,0.058,0.064,0.077,0.073,0.075,0.072,0.076,0.058,0.055,0.062,0.057,0.064,0.036,0.039,0.018,0.013
156927,Fardea,TM,0.041,0.041,0.06,0.052,0.071,0.057,0.074,0.075,0.08,0.041,0.052,0.066,0.077,0.065,0.053,0.058,0.02,0.017
157004,Foeni,TM,0.046,0.055,0.057,0.068,0.093,0.073,0.069,0.071,0.09,0.054,0.055,0.065,0.057,0.038,0.029,0.036,0.024,0.02
157031,Gavojdia,TM,0.037,0.051,0.06,0.065,0.067,0.064,0.083,0.087,0.086,0.045,0.05,0.059,0.062,0.06,0.044,0.045,0.019,0.017
157086,Oras Gataia,TM,0.044,0.061,0.057,0.064,0.083,0.067,0.073,0.08,0.089,0.052,0.058,0.067,0.055,0.044,0.035,0.034,0.02,0.017
157193,Ghizela,TM,0.044,0.058,0.067,0.058,0.051,0.062,0.081,0.081,0.081,0.038,0.036,0.07,0.065,0.06,0.04,0.044,0.035,0.029
157246,Giarmata,TM,0.058,0.055,0.057,0.059,0.09,0.093,0.09,0.078,0.076,0.052,0.052,0.062,0.064,0.041,0.024,0.02,0.015,0.014
157273,Giera,TM,0.058,0.051,0.052,0.073,0.091,0.061,0.071,0.083,0.077,0.067,0.053,0.051,0.062,0.049,0.035,0.034,0.014,0.018
157317,Giulvaz,TM,0.059,0.065,0.067,0.067,0.081,0.064,0.073,0.074,0.079,0.071,0.05,0.06,0.048,0.042,0.027,0.029,0.028,0.015
157362,Jamu Mare,TM,0.045,0.055,0.057,0.065,0.081,0.066,0.071,0.077,0.079,0.047,0.067,0.057,0.047,0.055,0.036,0.044,0.032,0.019
157424,Jebel,TM,0.048,0.051,0.062,0.073,0.082,0.071,0.075,0.085,0.09,0.048,0.055,0.059,0.047,0.05,0.033,0.033,0.021,0.017
157451,Lenauheim,TM,0.048,0.059,0.069,0.072,0.087,0.082,0.079,0.074,0.083,0.055,0.055,0.055,0.052,0.043,0.026,0.026,0.017,0.018
157497,Liebling,TM,0.046,0.055,0.06,0.073,0.087,0.068,0.089,0.085,0.086,0.056,0.052,0.054,0.054,0.048,0.026,0.029,0.02,0.013
157530,Lovrin,TM,0.048,0.07,0.056,0.069,0.091,0.072,0.08,0.074,0.088,0.052,0.051,0.068,0.048,0.048,0.031,0.026,0.015,0.014
157585,Margina,TM,0.04,0.057,0.067,0.062,0.07,0.067,0.067,0.069,0.073,0.052,0.052,0.07,0.053,0.065,0.051,0.041,0.022,0.022
157683,Masloc,TM,0.046,0.058,0.063,0.056,0.093,0.075,0.068,0.077,0.076,0.054,0.059,0.071,0.061,0.045,0.026,0.029,0.022,0.02
157736,Manastiur,TM,0.045,0.066,0.065,0.079,0.067,0.065,0.083,0.083,0.067,0.054,0.048,0.063,0.064,0.037,0.038,0.039,0.024,0.014
157781,Moravita,TM,0.042,0.062,0.053,0.069,0.086,0.088,0.08,0.082,0.094,0.062,0.055,0.059,0.058,0.034,0.024,0.024,0.011,0.017
157834,Mosnita Noua,TM,0.075,0.043,0.054,0.059,0.087,0.105,0.102,0.083,0.074,0.062,0.049,0.056,0.047,0.036,0.025,0.019,0.013,0.01
157898,Nadrag,TM,0.038,0.049,0.05,0.054,0.077,0.062,0.076,0.08,0.098,0.042,0.07,0.073,0.061,0.056,0.043,0.044,0.016,0.011
157923,Nitchidorf,TM,0.042,0.064,0.07,0.062,0.08,0.084,0.084,0.079,0.073,0.061,0.049,0.058,0.052,0.043,0.033,0.027,0.02,0.018
157969,Ohaba Lunga,TM,0.041,0.064,0.048,0.07,0.082,0.063,0.064,0.061,0.084,0.035,0.056,0.084,0.053,0.062,0.037,0.051,0.023,0.022
158010,Ortisoara,TM,0.053,0.057,0.061,0.067,0.078,0.073,0.081,0.076,0.081,0.057,0.053,0.061,0.059,0.049,0.034,0.031,0.017,0.012
158065,Peciu Nou,TM,0.046,0.043,0.055,0.065,0.084,0.082,0.085,0.08,0.084,0.047,0.057,0.063,0.061,0.049,0.03,0.028,0.024,0.017
158109,Periam,TM,0.047,0.054,0.061,0.063,0.083,0.07,0.084,0.083,0.078,0.051,0.049,0.066,0.059,0.052,0.031,0.031,0.02,0.017
158136,Pietroasa,TM,0.051,0.073,0.104,0.086,0.069,0.055,0.06,0.062,0.062,0.049,0.049,0.059,0.056,0.062,0.034,0.036,0.021,0.013
158181,Pischia,TM,0.042,0.043,0.066,0.073,0.084,0.074,0.076,0.076,0.082,0.047,0.06,0.069,0.057,0.052,0.03,0.032,0.021,0.017
158243,Racovita,TM,0.033,0.055,0.054,0.061,0.066,0.057,0.076,0.079,0.072,0.044,0.051,0.059,0.065,0.072,0.051,0.053,0.035,0.02
158314,Oras Recas,TM,0.054,0.059,0.067,0.066,0.085,0.07,0.078,0.079,0.074,0.056,0.047,0.061,0.057,0.047,0.031,0.032,0.021,0.016
158396,Remetea Mare,TM,0.048,0.048,0.05,0.049,0.087,0.087,0.092,0.086,0.077,0.053,0.055,0.059,0.057,0.048,0.036,0.028,0.022,0.017
158449,Sacosu Turcesc,TM,0.047,0.059,0.058,0.057,0.07,0.059,0.076,0.07,0.077,0.052,0.052,0.07,0.059,0.064,0.046,0.038,0.028,0.017
158528,Satchinez,TM,0.049,0.052,0.063,0.073,0.088,0.066,0.087,0.083,0.083,0.059,0.055,0.058,0.052,0.045,0.029,0.028,0.018,0.013
158564,Sacalaz,TM,0.05,0.045,0.06,0.064,0.087,0.093,0.104,0.091,0.085,0.05,0.05,0.053,0.056,0.042,0.023,0.023,0.013,0.011
158608,Secas,TM,0.051,0.053,0.051,0.064,0.09,0.074,0.101,0.077,0.096,0.056,0.045,0.072,0.043,0.035,0.021,0.029,0.019,0.024
158653,Sanandrei,TM,0.048,0.046,0.053,0.058,0.096,0.088,0.089,0.084,0.091,0.052,0.058,0.062,0.054,0.042,0.029,0.021,0.016,0.013
158699,Sanmihaiu Roman,TM,0.057,0.045,0.05,0.066,0.095,0.096,0.095,0.077,0.085,0.053,0.056,0.055,0.052,0.046,0.026,0.023,0.013,0.011
158733,Sanpetru Mare,TM,0.054,0.077,0.061,0.065,0.089,0.072,0.076,0.072,0.078,0.062,0.055,0.048,0.05,0.038,0.035,0.026,0.023,0.02
158779,Sag,TM,0.053,0.043,0.05,0.046,0.076,0.094,0.093,0.092,0.083,0.041,0.048,0.069,0.061,0.046,0.032,0.035,0.019,0.018
158804,Stiuca,TM,0.058,0.083,0.085,0.092,0.086,0.071,0.08,0.077,0.06,0.075,0.051,0.047,0.038,0.023,0.026,0.023,0.015,0.011
158859,Teremia Mare,TM,0.048,0.066,0.062,0.071,0.098,0.075,0.076,0.078,0.077,0.069,0.057,0.06,0.047,0.04,0.022,0.024,0.013,0.017
158895,Tomesti,TM,0.022,0.038,0.047,0.054,0.061,0.062,0.078,0.077,0.077,0.043,0.054,0.086,0.081,0.083,0.049,0.05,0.023,0.015
158966,Topolovatu Mare,TM,0.045,0.048,0.051,0.057,0.073,0.056,0.082,0.083,0.078,0.041,0.052,0.066,0.062,0.059,0.041,0.049,0.036,0.02
159035,Tormac,TM,0.047,0.061,0.07,0.061,0.089,0.064,0.068,0.076,0.083,0.048,0.053,0.056,0.056,0.048,0.04,0.037,0.029,0.016
159071,Traian Vuia,TM,0.053,0.054,0.064,0.068,0.074,0.064,0.071,0.082,0.076,0.053,0.046,0.045,0.058,0.072,0.047,0.042,0.016,0.015
159142,Uivar,TM,0.049,0.055,0.057,0.072,0.094,0.08,0.078,0.076,0.084,0.062,0.058,0.057,0.047,0.041,0.028,0.022,0.022,0.019
159213,Varias,TM,0.049,0.064,0.06,0.062,0.087,0.076,0.077,0.077,0.083,0.051,0.053,0.06,0.056,0.053,0.03,0.03,0.016,0.016
159259,Victor Vlad Delamarina,TM,0.046,0.053,0.058,0.07,0.082,0.063,0.066,0.066,0.085,0.046,0.06,0.063,0.053,0.056,0.039,0.046,0.031,0.018
159339,Voiteg,TM,0.035,0.054,0.056,0.069,0.075,0.068,0.079,0.097,0.095,0.047,0.044,0.064,0.058,0.052,0.042,0.03,0.019,0.016
159366,Birda,TM,0.044,0.056,0.062,0.066,0.092,0.083,0.078,0.077,0.088,0.056,0.056,0.066,0.054,0.04,0.031,0.023,0.015,0.014
159375,Checea,TM,0.06,0.072,0.082,0.064,0.092,0.072,0.077,0.078,0.077,0.066,0.043,0.06,0.046,0.035,0.023,0.019,0.016,0.016
159384,Dudestii Noi,TM,0.06,0.049,0.062,0.072,0.092,0.095,0.094,0.069,0.076,0.059,0.054,0.066,0.056,0.033,0.02,0.022,0.012,0.01
159393,Fibis,TM,0.04,0.044,0.054,0.055,0.075,0.075,0.097,0.079,0.075,0.048,0.05,0.061,0.057,0.069,0.036,0.045,0.021,0.019
159400,Ghilad,TM,0.042,0.061,0.049,0.059,0.075,0.071,0.084,0.082,0.08,0.056,0.055,0.068,0.057,0.05,0.042,0.032,0.02,0.018
159419,Gottlob,TM,0.037,0.048,0.061,0.064,0.093,0.075,0.083,0.079,0.069,0.048,0.056,0.07,0.057,0.044,0.031,0.028,0.023,0.035
159428,Iecea Mare,TM,0.048,0.058,0.061,0.069,0.102,0.063,0.085,0.079,0.084,0.056,0.062,0.058,0.046,0.04,0.024,0.03,0.017,0.017
159437,Parta,TM,0.049,0.061,0.061,0.068,0.09,0.074,0.078,0.08,0.086,0.057,0.049,0.067,0.056,0.043,0.028,0.024,0.015,0.014
159446,Padureni,TM,0.043,0.05,0.047,0.067,0.091,0.069,0.072,0.077,0.108,0.05,0.052,0.073,0.051,0.04,0.033,0.033,0.026,0.017
159455,Saravale,TM,0.083,0.062,0.076,0.072,0.087,0.069,0.069,0.076,0.077,0.096,0.045,0.051,0.038,0.033,0.026,0.02,0.013,0.007
159464,Sandra,TM,0.048,0.052,0.062,0.076,0.093,0.07,0.084,0.073,0.086,0.055,0.07,0.06,0.045,0.047,0.023,0.028,0.015,0.012
159473,Tomnatic,TM,0.049,0.048,0.064,0.066,0.086,0.077,0.085,0.088,0.077,0.065,0.052,0.057,0.054,0.045,0.025,0.027,0.016,0.02
159482,Valcani,TM,0.047,0.046,0.068,0.067,0.088,0.073,0.07,0.083,0.108,0.046,0.055,0.046,0.035,0.053,0.044,0.039,0.017,0.015
159491,Livezile,TM,0.044,0.066,0.068,0.06,0.08,0.074,0.088,0.081,0.08,0.059,0.058,0.055,0.062,0.038,0.021,0.028,0.018,0.019
159507,Pesac,TM,0.058,0.052,0.062,0.079,0.1,0.075,0.081,0.071,0.082,0.066,0.045,0.059,0.054,0.043,0.02,0.024,0.019,0.013
159516,Bucovat,TM,0.042,0.042,0.047,0.066,0.106,0.094,0.091,0.075,0.077,0.055,0.051,0.059,0.059,0.049,0.03,0.028,0.015,0.015
159525,Otelec,TM,0.044,0.064,0.061,0.059,0.079,0.084,0.081,0.074,0.086,0.049,0.06,0.056,0.061,0.043,0.032,0.032,0.017,0.017
159614,Municipiul Tulcea,TL,0.041,0.046,0.044,0.047,0.082,0.079,0.089,0.083,0.096,0.048,0.068,0.08,0.079,0.049,0.028,0.021,0.014,0.007
159650,Oras Babadag,TL,0.071,0.067,0.064,0.064,0.081,0.075,0.078,0.076,0.078,0.069,0.053,0.063,0.055,0.042,0.023,0.019,0.016,0.007
159687,Oras Isaccea,TL,0.05,0.053,0.062,0.063,0.092,0.066,0.076,0.076,0.09,0.052,0.064,0.064,0.057,0.046,0.031,0.027,0.021,0.009
159730,Oras Macin,TL,0.034,0.053,0.049,0.053,0.084,0.074,0.076,0.084,0.098,0.048,0.059,0.075,0.072,0.047,0.033,0.03,0.02,0.012
159767,Oras Sulina,TL,0.029,0.037,0.042,0.057,0.084,0.074,0.082,0.074,0.093,0.039,0.072,0.087,0.081,0.063,0.034,0.025,0.017,0.012
159785,Baia,TL,0.045,0.058,0.053,0.056,0.072,0.068,0.077,0.077,0.085,0.053,0.052,0.074,0.069,0.054,0.037,0.034,0.022,0.014
159847,Beidaud,TL,0.06,0.063,0.07,0.063,0.08,0.069,0.085,0.083,0.077,0.071,0.045,0.056,0.053,0.033,0.028,0.037,0.015,0.011
159883,C.a. Rosetti,TL,0.035,0.059,0.062,0.061,0.046,0.051,0.087,0.082,0.106,0.046,0.058,0.05,0.055,0.073,0.036,0.054,0.027,0.013
159945,Carcaliu,TL,0.032,0.038,0.032,0.048,0.069,0.065,0.092,0.075,0.083,0.039,0.062,0.082,0.073,0.089,0.046,0.033,0.027,0.017
159963,Casimcea,TL,0.063,0.077,0.074,0.063,0.073,0.055,0.067,0.085,0.078,0.061,0.054,0.054,0.05,0.051,0.032,0.031,0.02,0.013
160047,Ceatalchioi,TL,0.038,0.068,0.045,0.055,0.059,0.048,0.086,0.083,0.081,0.033,0.061,0.09,0.088,0.062,0.038,0.026,0.026,0.013
160092,Ceamurlia De Jos,TL,0.043,0.055,0.057,0.056,0.095,0.078,0.071,0.075,0.082,0.048,0.067,0.063,0.054,0.044,0.036,0.034,0.026,0.016
160127,Cerna,TL,0.041,0.054,0.053,0.05,0.072,0.061,0.072,0.082,0.087,0.044,0.059,0.07,0.065,0.051,0.037,0.045,0.036,0.021
160172,Chilia Veche,TL,0.031,0.063,0.064,0.059,0.058,0.053,0.081,0.089,0.096,0.051,0.062,0.057,0.068,0.054,0.039,0.04,0.024,0.01
160225,Ciucurova,TL,0.057,0.072,0.074,0.054,0.082,0.07,0.091,0.065,0.074,0.061,0.042,0.057,0.064,0.043,0.036,0.025,0.02,0.012
160261,Crisan,TL,0.034,0.045,0.062,0.053,0.072,0.071,0.089,0.086,0.095,0.04,0.07,0.059,0.066,0.048,0.032,0.032,0.03,0.016
160305,Daeni,TL,0.046,0.045,0.054,0.057,0.07,0.05,0.059,0.083,0.08,0.051,0.052,0.06,0.071,0.062,0.052,0.049,0.036,0.023
160323,Dorobantu,TL,0.047,0.063,0.059,0.073,0.066,0.053,0.075,0.078,0.065,0.061,0.044,0.059,0.063,0.049,0.044,0.049,0.033,0.018
160387,Frecatei,TL,0.037,0.048,0.052,0.055,0.072,0.063,0.074,0.084,0.086,0.046,0.062,0.061,0.071,0.06,0.039,0.04,0.032,0.017
160430,Greci,TL,0.036,0.049,0.061,0.061,0.076,0.068,0.089,0.086,0.092,0.05,0.047,0.059,0.059,0.052,0.036,0.04,0.021,0.018
160458,Grindu,TL,0.038,0.054,0.07,0.074,0.07,0.064,0.086,0.087,0.096,0.043,0.047,0.048,0.053,0.038,0.041,0.045,0.031,0.018
160476,Hamcearca,TL,0.044,0.058,0.058,0.058,0.065,0.06,0.069,0.065,0.09,0.05,0.053,0.068,0.053,0.057,0.042,0.051,0.036,0.023
160528,Horia,TL,0.051,0.047,0.051,0.056,0.082,0.071,0.085,0.078,0.071,0.056,0.054,0.055,0.068,0.052,0.043,0.038,0.029,0.014
160564,Izvoarele,TL,0.037,0.04,0.045,0.048,0.066,0.076,0.077,0.076,0.057,0.048,0.047,0.073,0.066,0.074,0.062,0.055,0.037,0.016
160617,Jijila,TL,0.038,0.06,0.056,0.064,0.069,0.064,0.085,0.09,0.083,0.051,0.048,0.057,0.065,0.047,0.04,0.041,0.025,0.018
160644,Jurilovca,TL,0.037,0.058,0.051,0.054,0.062,0.067,0.089,0.088,0.074,0.046,0.062,0.07,0.076,0.061,0.035,0.03,0.028,0.012
160680,Luncavita,TL,0.04,0.053,0.061,0.062,0.074,0.062,0.079,0.089,0.081,0.048,0.039,0.063,0.065,0.052,0.046,0.041,0.027,0.018
160724,Mahmudia,TL,0.036,0.046,0.056,0.055,0.077,0.064,0.086,0.089,0.087,0.045,0.065,0.076,0.074,0.05,0.04,0.029,0.013,0.011
160779,Maliuc,TL,0.032,0.059,0.049,0.05,0.071,0.06,0.087,0.097,0.085,0.025,0.072,0.084,0.077,0.054,0.033,0.03,0.023,0.012
160831,Mihai Bravu,TL,0.055,0.072,0.061,0.063,0.074,0.072,0.08,0.07,0.072,0.052,0.058,0.057,0.054,0.053,0.039,0.03,0.025,0.012
160877,Mihail Kogalniceanu,TL,0.052,0.055,0.06,0.061,0.09,0.074,0.077,0.073,0.084,0.052,0.057,0.062,0.057,0.043,0.033,0.028,0.024,0.018
160911,Murighiol,TL,0.045,0.05,0.061,0.057,0.081,0.07,0.084,0.077,0.084,0.049,0.058,0.064,0.059,0.05,0.041,0.033,0.021,0.015
160993,Nalbant,TL,0.067,0.076,0.085,0.071,0.083,0.076,0.08,0.066,0.064,0.067,0.047,0.049,0.041,0.04,0.032,0.029,0.017,0.011
161035,Niculitel,TL,0.044,0.059,0.061,0.059,0.071,0.068,0.089,0.08,0.077,0.052,0.051,0.062,0.069,0.055,0.038,0.032,0.02,0.013
161053,Nufaru,TL,0.041,0.05,0.042,0.052,0.087,0.074,0.087,0.087,0.079,0.059,0.049,0.06,0.066,0.05,0.034,0.038,0.031,0.014
161106,Ostrov,TL,0.044,0.069,0.069,0.059,0.073,0.066,0.077,0.093,0.071,0.057,0.046,0.054,0.049,0.049,0.044,0.041,0.028,0.012
161133,Pardina,TL,0.057,0.05,0.069,0.046,0.089,0.074,0.089,0.075,0.089,0.072,0.072,0.069,0.053,0.038,0.026,0.014,0.012,0.007
161151,Peceneaga,TL,0.046,0.056,0.061,0.062,0.066,0.051,0.074,0.082,0.071,0.044,0.043,0.057,0.069,0.062,0.047,0.05,0.037,0.021
161179,Sarichioi,TL,0.039,0.047,0.047,0.047,0.073,0.077,0.091,0.086,0.07,0.049,0.056,0.07,0.08,0.067,0.036,0.025,0.025,0.013
161231,Sfantu Gheorghe,TL,0.029,0.025,0.048,0.057,0.072,0.069,0.074,0.083,0.118,0.032,0.068,0.077,0.073,0.06,0.05,0.037,0.019,0.008
161259,Slava Cercheza,TL,0.029,0.047,0.053,0.044,0.075,0.077,0.088,0.093,0.084,0.039,0.061,0.06,0.079,0.066,0.047,0.029,0.021,0.006
161286,Smardan,TL,0.048,0.051,0.048,0.054,0.085,0.094,0.094,0.092,0.065,0.059,0.045,0.055,0.077,0.049,0.027,0.028,0.018,0.013
161302,Somova,TL,0.048,0.056,0.059,0.057,0.077,0.067,0.076,0.092,0.085,0.055,0.058,0.054,0.064,0.045,0.037,0.037,0.021,0.012
161348,Stejaru,TL,0.042,0.062,0.058,0.05,0.08,0.061,0.09,0.076,0.068,0.046,0.063,0.083,0.062,0.057,0.052,0.029,0.016,0.006
161384,Topolog,TL,0.056,0.063,0.074,0.075,0.074,0.058,0.066,0.076,0.084,0.067,0.051,0.051,0.054,0.047,0.038,0.03,0.023,0.015
161464,Turcoaia,TL,0.035,0.054,0.054,0.059,0.066,0.061,0.082,0.084,0.082,0.062,0.049,0.06,0.062,0.056,0.048,0.04,0.032,0.016
161482,Valea Nucarilor,TL,0.039,0.047,0.047,0.048,0.079,0.061,0.072,0.071,0.076,0.047,0.056,0.063,0.075,0.06,0.052,0.042,0.047,0.016
161525,I.c.bratianu,TL,0.038,0.059,0.065,0.057,0.064,0.068,0.095,0.088,0.094,0.046,0.055,0.059,0.044,0.062,0.04,0.033,0.023,0.011
161543,Vacareni,TL,0.032,0.066,0.057,0.055,0.071,0.061,0.079,0.094,0.089,0.049,0.045,0.053,0.071,0.048,0.045,0.037,0.028,0.019
161552,Bestepe,TL,0.042,0.054,0.05,0.043,0.08,0.063,0.082,0.076,0.077,0.059,0.05,0.057,0.06,0.055,0.054,0.052,0.026,0.019
161561,Valea Teilor,TL,0.074,0.06,0.06,0.049,0.073,0.074,0.097,0.073,0.054,0.076,0.05,0.057,0.054,0.045,0.043,0.026,0.024,0.01
161794,Municipiul Barlad,VS,0.04,0.047,0.049,0.054,0.084,0.081,0.084,0.077,0.09,0.05,0.059,0.08,0.073,0.049,0.027,0.028,0.018,0.011
161829,Municipiul Husi,VS,0.04,0.048,0.05,0.057,0.099,0.083,0.084,0.072,0.094,0.049,0.064,0.08,0.062,0.041,0.027,0.022,0.016,0.012
161856,Oras Negresti,VS,0.049,0.064,0.078,0.074,0.092,0.07,0.07,0.075,0.091,0.065,0.057,0.059,0.042,0.033,0.024,0.026,0.017,0.014
161945,Municipiul Vaslui,VS,0.064,0.043,0.041,0.057,0.114,0.112,0.096,0.076,0.077,0.052,0.06,0.071,0.062,0.037,0.015,0.012,0.007,0.004
162014,Albesti,VS,0.037,0.07,0.08,0.058,0.071,0.045,0.084,0.088,0.088,0.05,0.034,0.052,0.051,0.042,0.042,0.04,0.041,0.025
162069,Alexandru Vlahuta,VS,0.055,0.08,0.077,0.066,0.075,0.051,0.073,0.079,0.074,0.058,0.04,0.044,0.051,0.041,0.038,0.038,0.033,0.028
162149,Arsura,VS,0.034,0.059,0.069,0.058,0.052,0.046,0.071,0.084,0.076,0.05,0.047,0.037,0.038,0.059,0.066,0.07,0.05,0.034
162194,Banca,VS,0.055,0.072,0.079,0.065,0.07,0.06,0.078,0.084,0.075,0.068,0.037,0.044,0.045,0.051,0.04,0.036,0.026,0.016
162327,Bacani,VS,0.072,0.08,0.085,0.076,0.077,0.062,0.072,0.075,0.069,0.078,0.038,0.053,0.043,0.034,0.023,0.027,0.022,0.015
162381,Bacesti,VS,0.108,0.097,0.084,0.069,0.073,0.054,0.061,0.063,0.058,0.118,0.032,0.037,0.031,0.031,0.02,0.029,0.02,0.017
162452,Balteni,VS,0.027,0.059,0.064,0.056,0.068,0.057,0.071,0.094,0.082,0.059,0.045,0.057,0.063,0.059,0.036,0.04,0.038,0.025
162498,Berezeni,VS,0.048,0.062,0.075,0.063,0.075,0.051,0.071,0.084,0.076,0.055,0.045,0.043,0.049,0.057,0.052,0.044,0.03,0.019
162559,Blagesti,VS,0.031,0.049,0.061,0.047,0.05,0.048,0.063,0.092,0.071,0.035,0.035,0.046,0.053,0.063,0.066,0.075,0.077,0.038
162595,Bogdana,VS,0.044,0.08,0.085,0.075,0.066,0.048,0.081,0.082,0.074,0.067,0.036,0.04,0.029,0.042,0.039,0.041,0.035,0.036
